Date,Oil Price ($/barrel),GDP Growth (%)
2012-10-31,16.95,
2012-11-30,16.57,
2012-12-31,16.03,
2013-01-01,,4320.262
2013-01-31,17.6,
2013-02-28,14.86,
2013-03-28,14.2,
2013-04-01,,4419.14
2013-04-30,11.68,
2013-05-31,14.74,
2013-06-28,14.29,
2013-07-01,,4486.445
2013-07-31,16.29,
2013-08-30,15.45,
2013-09-30,17.72,
2013-10-01,,4586.321
2013-10-31,19.09,
2013-11-29,17.2,
2013-12-31,16.0,
2014-01-01,,4403.178
2014-01-31,14.32,
2014-02-28,15.07,
2014-03-31,17.31,
2014-04-01,,4532.342
2014-04-30,19.2,
2014-05-30,14.67,
2014-06-30,16.37,
2014-07-01,,4616.61
2014-07-31,13.41,
2014-08-29,14.92,
2014-09-30,11.0,
2014-10-01,,4709.584
2014-10-31,9.09,
2014-11-28,7.53,
2014-12-31,7.34,
2015-01-01,,4562.381
2015-01-30,5.06,
2015-02-27,5.97,
2015-03-31,5.11,
2015-04-01,,4696.817
2015-04-30,6.43,
2015-05-29,5.41,
2015-06-30,5.48,
2015-07-01,,4741.07
2015-07-31,3.77,
2015-08-31,3.57,
2015-09-30,3.0,
2015-10-01,,4799.354
2015-10-30,3.26,
2015-11-30,3.75,
2015-12-31,2.31,
2016-01-01,,4641.851
2016-01-29,1.95,
2016-02-29,1.82,
2016-03-31,2.19,
2016-04-01,,4768.308
2016-04-29,2.41,
2016-05-31,2.11,
2016-06-30,2.32,
2016-07-01,,4819.182
2016-07-29,1.99,
2016-08-31,1.71,
2016-09-30,1.76,
2016-10-01,,4912.331
2016-10-31,1.45,
2016-11-30,1.69,
2016-12-30,2.77,
2017-01-01,,4698.367
2017-01-31,2.9,
2017-02-28,2.51,
2017-03-31,2.77,
2017-04-01,,4893.234
2017-04-28,2.04,
2017-05-31,2.04,
2017-06-30,1.96,
2017-07-01,,4950.878
2017-07-31,1.96,
2017-08-31,1.91,
2017-09-29,3.05,
2017-10-01,,5069.624
2017-10-31,3.13,
2017-11-30,3.14,
2017-12-29,3.31,
2018-01-01,,4890.817
2018-01-31,4.84,
2018-02-28,3.89,
2018-03-29,4.43,
2018-04-01,,5039.983
2018-04-30,6.1,
2018-05-31,6.85,
2018-06-29,7.15,
2018-07-01,,5092.532
2018-07-31,6.94,
2018-08-31,6.77,
2018-09-28,9.64,
2018-10-01,,5170.563
2018-10-31,6.74,
2018-11-30,5.81,
2018-12-31,4.12,
2019-01-01,,4973.048
2019-01-31,5.04,
2019-02-28,5.21,
2019-03-29,6.9,
2019-04-01,,5159.323
2019-04-30,6.38,
2019-05-31,4.2,
2019-06-28,4.96,
2019-07-01,,5232.278
2019-07-31,4.49,
2019-08-30,4.38,
2019-09-30,4.37,
2019-10-01,,5351.022
2019-10-31,4.03,
2019-11-29,4.28,
2019-12-31,5.56,
2020-01-01,,5049.973
2020-01-31,4.14,
2020-02-28,2.6,
2020-03-31,1.7,
2020-04-01,,4783.855
2020-04-30,2.77,
2020-05-29,2.61,
2020-06-30,2.28,
2020-07-01,,5134.93
2020-07-31,2.26,
2020-08-31,2.23,
2020-09-30,1.8,
2020-10-01,,5298.828
2020-10-30,1.4,
2020-11-30,1.96,
2020-12-31,2.17,
2021-01-01,,5133.377
2021-01-29,2.42,
2021-02-26,3.29,
2021-03-31,3.59,
2021-04-01,,5360.97
2021-04-30,3.29,
2021-05-28,3.74,
2021-06-30,4.85,
2021-07-01,,5408.478
2021-07-30,4.05,
2021-08-31,3.26,
2021-09-30,3.72,
2021-10-01,,5591.973
2021-10-29,4.11,
2021-11-30,3.44,
2021-12-31,3.23,
2022-01-01,,5337.277
2022-01-31,4.28,
2022-02-28,4.86,
2022-03-31,3.82,
2022-04-01,,5484.289
2022-04-29,4.76,
2022-05-31,6.73,
2022-06-30,4.32,
2022-07-01,,5544.386
2022-07-29,4.97,
2022-08-31,6.5,
2022-09-30,5.86,
2022-10-01,,5668.877
2022-10-31,7.59,
2022-11-30,6.87,
2022-12-30,5.58,
2023-01-01,,5469.175
2023-01-31,6.22,
2023-02-28,5.61,
2023-03-31,5.08,
2023-04-01,,5646.288
2023-04-28,4.37,
2023-05-31,3.87,
2023-06-30,3.87,
2023-07-01,,5724.051
2023-07-31,4.38,
2023-08-31,4.08,
2023-09-29,4.38,
2023-10-01,,5831.583
2023-10-31,4.15,
2023-11-30,3.34,
2023-12-29,3.26,
2024-01-01,,5638.455
2024-01-31,3.04,
2024-02-29,3.02,
2024-03-28,2.65,
2024-04-01,,5817.169
2024-04-30,2.25,
2024-05-31,2.23,
2024-06-28,2.14,
2024-07-01,,5866.841
2024-07-31,2.41,
2024-08-30,2.29,
2024-09-30,2.15,
2024-10-31,2.13,
2024-11-29,1.94,
2024-12-23,1.51,
